#;Beglost;Gubkost;Original;Razrab;C;Abstract
1;4;2;3;2;0;0;0
2;10;9;5;3;10;2;0
3;7;5;3;1;8;6;0
4;10;8;10;1;4;6;0
5;10;7;4;2;12;3;0
6;10;8;2;1;5;14;0
7;-1;-1;-1;-1;-1;-1;0
8;10;9;4;1;14;1;0
9;10;8;6;2;8;1;0
10;10;6;0;2;10;1;0
11;10;5;1;1;11;3;0
12;10;6;3;3;12;2;0
13;9;6;3;1;0;0;0
14;10;7;4;2;10;4;0
15;9;7;1;1;4;0;0
16;10;7;1;1;8;3;0
17;-1;-1;-1;-1;-1;-1;0
18;10;7;3;2;9;20;0
19;10;8;6;1;5;6;0
20;10;10;3;1;6;3;0
21;10;5;4;2;15;2;0
22;10;9;11;2;5;0;0
23;10;10;4;2;14;3;0
24;9;7;4;1;2;1;0
25;10;9;1;1;6;1;0
26;10;10;4;2;10;3;0
27;10;7;3;2;14;8;0
28;10;7;5;1;2;3;0
29;10;7;6;1;2;5;0
30;10;10;8;1;8;2;0
31;10;6;3;2;4;1;0
32;10;7;2;2;10;0;0
33;10;6;2;2;12;5;0
34;-1;-1;-1;-1;-1;-1;0
35;10;9;4;1;6;0;0
36;10;7;3;1;4;1;0
37;10;8;4;4;14;12;0
38;8;7;2;2;10;0;0
39;10;10;7;1;8;0;0
40;10;9;6;2;11;10;0
41;9;9;5;2;11;0;0
42;10;8;3;2;6;1;0
43;10;7;7;3;10;3;0
44;10;8;19;4;13;10;0
45;10;5;8;2;13;6;0
46;10;7;4;1;4;2;0
47;9;7;4;2;0;6;0
48;10;10;7;4;14;12;0
49;8;6;6;1;6;5;0
50;10;9;4;2;11;11;0
51;10;8;6;3;15;7;0
52;10;5;4;2;7;5;0
53;10;8;9;3;10;6;0
54;10;8;2;1;9;5;0
55;10;8;3;1;9;6;0
56;10;7;4;2;7;0;0
57;10;6;0;2;10;5;0
58;10;6;1;3;13;3;0
59;10;6;2;3;14;23;0
60;10;7;5;2;12;9;0
61;10;9;0;1;5;0;0
62;10;8;3;1;5;0;0
63;10;7;3;2;7;14;0
64;10;7;3;2;6;13;0
65;10;8;1;2;7;0;0
66;10;7;0;1;4;3;0
67;10;8;6;2;1;3;0
68;10;8;3;2;4;0;0
69;10;10;8;1;2;0;0
